,place,lat,lng,max,type
0,0,37.506437756329134,127.03668407868533,2503.24,b
1,1,37.57731700271372,126.89901731756918,1000.0,b
2,2,37.55853347872614,126.97594200917783,3307.14,b
3,3,37.50424112447846,126.90383632227945,3194.28,b
4,4,37.58591997729507,127.06470208293544,7774.86,r
5,5,37.56603646969537,126.92686856674442,5930.72,r
6,6,37.46973079749026,126.9305347551002,4999.22,r
7,7,37.49990935767702,126.80197044244184,6930.88,r
8,8,37.2661617,126.9998207,1000.0,r
9,9,37.55673466648325,126.9245515730128,1000.0,m
10,10,37.49540926840771,126.9503137753516,5413.24,m
11,11,37.5274512579259,127.0865207035931,1000.0,m
