from_cluster,to_cluster,connection
4,0,97.10312500000005
4,1,110.8777777777778
4,2,78.77088607594939
4,3,118.21666666666667
5,0,83.87352941176471
5,1,54.20000000000002
5,2,66.25
5,3,59.75555555555554
6,0,81.72941176470587
6,1,75.05
6,2,78.43055555555553
6,3,42.99999999999999
7,0,110.08695652173911
7,1,72.3
7,2,82.52
7,3,48.46666666666666
8,0,0.0
8,1,0.0
8,2,0.0
8,3,0.0
9,0,84.1375
9,1,34.10000000000002
9,2,59.86666666666666
9,3,41.149999999999984
10,0,77.5111111111111
10,1,72.10000000000001
10,2,65.32222222222221
10,3,35.3125
11,0,76.38
11,1,140.05
11,2,68.95000000000003
11,3,133.625
4,9,112.93333333333335
4,10,111.8375
4,11,64.8
5,9,63.95
5,10,46.47333333333334
5,11,110.3777777777778
6,9,34.79999999999998
6,10,63.67499999999997
6,11,126.77999999999997
7,9,59.56666666666666
7,10,66.85000000000001
7,11,130.4
8,9,0.0
8,10,0.0
8,11,0.0
