역명_cleaned,호선목록,lnCd,stinConsOrdr
가락시장,"[np.int64(3), np.int64(8)]",3,42
가락시장,"[np.int64(3), np.int64(8)]",8,14
건대입구,"[np.int64(2), np.int64(7)]",2,33
건대입구,"[np.int64(2), np.int64(7)]",7,19
고속터미널,"[np.int64(3), np.int64(7)]",3,31
고속터미널,"[np.int64(3), np.int64(7)]",7,26
공덕,"[np.int64(5), np.int64(6)]",5,20
공덕,"[np.int64(5), np.int64(6)]",6,17
교대,"[np.int64(2), np.int64(3)]",2,22
교대,"[np.int64(2), np.int64(3)]",3,32
군자,"[np.int64(5), np.int64(7)]",5,35
군자,"[np.int64(5), np.int64(7)]",7,17
까치산,"[np.int64(2), np.int64(5)]",2,15
까치산,"[np.int64(2), np.int64(5)]",5,9
노원,"[np.int64(4), np.int64(7)]",4,6
노원,"[np.int64(4), np.int64(7)]",7,5
대림,"[np.int64(2), np.int64(7)]",2,12
대림,"[np.int64(2), np.int64(7)]",7,36
동대문,"[np.int64(1), np.int64(4)]",1,32
동대문,"[np.int64(1), np.int64(4)]",4,16
동대문사문화공원,"[np.int64(2), np.int64(4), np.int64(5)]",2,40
동대문사문화공원,"[np.int64(2), np.int64(4), np.int64(5)]",4,17
동대문사문화공원,"[np.int64(2), np.int64(4), np.int64(5)]",5,27
동묘앞,"[np.int64(1), np.int64(6)]",1,31
동묘앞,"[np.int64(1), np.int64(6)]",6,27
불광,"[np.int64(3), np.int64(6)]",3,14
불광,"[np.int64(3), np.int64(6)]",6,3
사당,"[np.int64(2), np.int64(4)]",2,19
사당,"[np.int64(2), np.int64(4)]",4,28
삼각지,"[np.int64(4), np.int64(6)]",4,23
삼각지,"[np.int64(4), np.int64(6)]",6,19
서울,"[np.int64(1), np.int64(4)]",1,37
서울,"[np.int64(1), np.int64(4)]",4,21
시청,"[np.int64(1), np.int64(2)]",1,36
시청,"[np.int64(1), np.int64(2)]",2,1
신당,"[np.int64(2), np.int64(6)]",2,39
신당,"[np.int64(2), np.int64(6)]",6,26
신설동,"[np.int64(1), np.int64(2)]",1,30
신설동,"[np.int64(1), np.int64(2)]",2,38
약수,"[np.int64(3), np.int64(6)]",3,25
약수,"[np.int64(3), np.int64(6)]",6,24
연신내,"[np.int64(3), np.int64(6)]",3,13
연신내,"[np.int64(3), np.int64(6)]",6,5
영등포구청,"[np.int64(2), np.int64(5)]",2,9
영등포구청,"[np.int64(2), np.int64(5)]",5,14
오금,"[np.int64(3), np.int64(5)]",3,44
오금,"[np.int64(3), np.int64(5)]",5,43
왕십리,"[np.int64(2), np.int64(5)]",2,37
왕십리,"[np.int64(2), np.int64(5)]",5,31
을지로3가,"[np.int64(2), np.int64(3)]",2,42
을지로3가,"[np.int64(2), np.int64(3)]",3,22
을지로4가,"[np.int64(2), np.int64(5)]",2,41
을지로4가,"[np.int64(2), np.int64(5)]",5,26
잠실,"[np.int64(2), np.int64(8)]",2,29
잠실,"[np.int64(2), np.int64(8)]",8,11
종로3가,"[np.int64(1), np.int64(3), np.int64(5)]",1,34
종로3가,"[np.int64(1), np.int64(3), np.int64(5)]",3,21
종로3가,"[np.int64(1), np.int64(3), np.int64(5)]",5,25
천호,"[np.int64(5), np.int64(8)]",5,38
천호,"[np.int64(5), np.int64(8)]",8,8
청구,"[np.int64(5), np.int64(6)]",5,28
청구,"[np.int64(5), np.int64(6)]",6,25
총신대입구,"[np.int64(4), np.int64(7)]",4,27
총신대입구,"[np.int64(4), np.int64(7)]",7,28
충무로,"[np.int64(3), np.int64(4)]",3,23
충무로,"[np.int64(3), np.int64(4)]",4,18
충정로,"[np.int64(2), np.int64(5)]",2,2
충정로,"[np.int64(2), np.int64(5)]",5,22
태릉입구,"[np.int64(6), np.int64(7)]",6,36
태릉입구,"[np.int64(6), np.int64(7)]",7,9
합정,"[np.int64(2), np.int64(6)]",2,7
합정,"[np.int64(2), np.int64(6)]",6,13
