,역명_cleaned,호선목록,lnCd,stinConsOrdr
0,가락시장,"[np.int64(3), np.int64(8)]",3,42
1,가락시장,"[np.int64(3), np.int64(8)]",8,14
2,건대입구,"[np.int64(2), np.int64(7)]",2,33
3,건대입구,"[np.int64(2), np.int64(7)]",7,19
4,고속터미널,"[np.int64(3), np.int64(7)]",3,31
5,고속터미널,"[np.int64(3), np.int64(7)]",7,26
6,공덕,"[np.int64(5), np.int64(6)]",5,20
7,공덕,"[np.int64(5), np.int64(6)]",6,17
8,교대,"[np.int64(2), np.int64(3)]",2,22
9,교대,"[np.int64(2), np.int64(3)]",3,32
10,군자,"[np.int64(5), np.int64(7)]",5,35
11,군자,"[np.int64(5), np.int64(7)]",7,17
12,까치산,"[np.int64(2), np.int64(5)]",12,1
13,까치산,"[np.int64(2), np.int64(5)]",5,9
14,노원,"[np.int64(4), np.int64(7)]",4,6
15,노원,"[np.int64(4), np.int64(7)]",7,5
16,대림,"[np.int64(2), np.int64(7)]",2,12
17,대림,"[np.int64(2), np.int64(7)]",7,36
18,동대문,"[np.int64(1), np.int64(4)]",1,32
19,동대문,"[np.int64(1), np.int64(4)]",4,16
20,동대문사문화공원,"[np.int64(2), np.int64(4), np.int64(5)]",2,40
21,동대문사문화공원,"[np.int64(2), np.int64(4), np.int64(5)]",4,17
22,동대문사문화공원,"[np.int64(2), np.int64(4), np.int64(5)]",5,27
23,동묘앞,"[np.int64(1), np.int64(6)]",1,31
24,동묘앞,"[np.int64(1), np.int64(6)]",6,27
25,불광,"[np.int64(3), np.int64(6)]",3,14
26,불광,"[np.int64(3), np.int64(6)]",6,3
27,사당,"[np.int64(2), np.int64(4)]",2,19
28,사당,"[np.int64(2), np.int64(4)]",4,28
29,삼각지,"[np.int64(4), np.int64(6)]",4,23
30,삼각지,"[np.int64(4), np.int64(6)]",6,19
31,서울,"[np.int64(1), np.int64(4)]",1,37
32,서울,"[np.int64(1), np.int64(4)]",4,21
33,시청,"[np.int64(1), np.int64(2)]",1,36
34,시청,"[np.int64(1), np.int64(2)]",2,1
35,신당,"[np.int64(2), np.int64(6)]",2,39
36,신당,"[np.int64(2), np.int64(6)]",6,26
37,신설동,"[np.int64(1), np.int64(2)]",1,30
38,신설동,"[np.int64(1), np.int64(2)]",22,1
39,약수,"[np.int64(3), np.int64(6)]",3,25
40,약수,"[np.int64(3), np.int64(6)]",6,24
41,연신내,"[np.int64(3), np.int64(6)]",3,13
42,연신내,"[np.int64(3), np.int64(6)]",6,5
43,영등포구청,"[np.int64(2), np.int64(5)]",2,9
44,영등포구청,"[np.int64(2), np.int64(5)]",5,14
45,오금,"[np.int64(3), np.int64(5)]",3,44
46,오금,"[np.int64(3), np.int64(5)]",5,43
47,왕십리,"[np.int64(2), np.int64(5)]",2,37
48,왕십리,"[np.int64(2), np.int64(5)]",5,31
49,을지로3가,"[np.int64(2), np.int64(3)]",2,42
50,을지로3가,"[np.int64(2), np.int64(3)]",3,22
51,을지로4가,"[np.int64(2), np.int64(5)]",2,41
52,을지로4가,"[np.int64(2), np.int64(5)]",5,26
53,잠실,"[np.int64(2), np.int64(8)]",2,29
54,잠실,"[np.int64(2), np.int64(8)]",8,11
55,종로3가,"[np.int64(1), np.int64(3), np.int64(5)]",1,34
56,종로3가,"[np.int64(1), np.int64(3), np.int64(5)]",3,21
57,종로3가,"[np.int64(1), np.int64(3), np.int64(5)]",5,25
58,천호,"[np.int64(5), np.int64(8)]",5,38
59,천호,"[np.int64(5), np.int64(8)]",8,8
60,청구,"[np.int64(5), np.int64(6)]",5,28
61,청구,"[np.int64(5), np.int64(6)]",6,25
62,총신대입구,"[np.int64(4), np.int64(7)]",4,27
63,총신대입구,"[np.int64(4), np.int64(7)]",7,28
64,충무로,"[np.int64(3), np.int64(4)]",3,23
65,충무로,"[np.int64(3), np.int64(4)]",4,18
66,충정로,"[np.int64(2), np.int64(5)]",2,2
67,충정로,"[np.int64(2), np.int64(5)]",5,22
68,태릉입구,"[np.int64(6), np.int64(7)]",6,36
69,태릉입구,"[np.int64(6), np.int64(7)]",7,9
70,합정,"[np.int64(2), np.int64(6)]",2,7
71,합정,"[np.int64(2), np.int64(6)]",6,13
72,신도림,,12,5
73,신도림,,2,11
74,성수,,22,5
75,성수,,2,34
